committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,committee_name,entity_type,entity_type_desc,unused_contbr_id,contributor_prefix,contributor_name,recipient_committee_type,recipient_committee_org_type,recipient_committee_designation,contributor_first_name,contributor_middle_name,contributor_last_name,contributor_suffix,contributor_street_1,contributor_street_2,contributor_city,contributor_state,contributor_zip,contributor_employer,contributor_occupation,contributor_id,receipt_type,receipt_type_desc,receipt_type_full,memo_code,memo_code_full,contribution_receipt_date,contribution_receipt_amount,contributor_aggregate_ytd,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,donor_committee_name,national_committee_nonfederal_account,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_name,filing_form,link_id,is_individual,memo_text,two_year_transaction_period,schedule_type,increased_limit,sub_id,pdf_url,line_number_label
C00558627,GALLEGO FOR ARIZONA,2021,Q2,202107159451324367,11C,VNJ3FQQR9S8,1526460,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-06-24 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-07-30 05:01:30.984,,,,F3,4071620211320721398,f,,2022,SA,,4073020211323435740,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451324367,Contributions From Other Political Committees
C00437889,PETERS FOR MICHIGAN,2021,Q2,202107159451640388,11C,VSH8GSAA150,1527747,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,S,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-06-24 00:00:00,2500.00,2500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2026,,PRIMARY,2026,A,ADD,ITEMIZED RECEIPTS,2021-07-30 05:02:21.431,,,,F3,4071720211320863074,f,,2022,SA,,4073020211323477397,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451640388,Contributions From Other Political Committees
C00710962,PETER MEIJER FOR CONGRESS,2021,YE,202204139496094943,11C,SA11C.33360,1581779,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-10-12 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED RECEIPTS,2022-05-01 03:31:41.441,,,,F3,4041420221470746013,f,,2022,SA,,4043020221473648342,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496094943,Contributions From Other Political Committees
C00521948,RODNEY FOR CONGRESS,2021,Q2,202107159451401597,11C,A0419002162CF4C7B95F,1526978,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-06-24 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-08-06 04:56:29.946,,,,F3,4071620211320721680,f,,2022,SA,,4080620211324896678,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451401597,Contributions From Other Political Committees
C00445023,GUTHRIE FOR CONGRESS,2021,Q2,202108099466222825,11C,A7A639C6C2D524BE4BF0,1534122,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC-CTAPAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-05-24 00:00:00,2000.00,2000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC-CTAPAC,,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED RECEIPTS,2021-08-13 05:10:16.437,,,,F3,4081020211324991013,f,,2022,SA,,4081320211326124630,https://docquery.fec.gov/cgi-bin/fecimg/?202108099466222825,Contributions From Other Political Committees
C00694414,BUCKEYE VICTORY FUND,2021,YE,202201069474877158,11C,SA11C.4535,1554470,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,N,,J,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-12-30 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2022-01-07 03:35:45.083,,,,F3X,4010720221388248014,f,,2022,SA,,4010720221388261123,https://docquery.fec.gov/cgi-bin/fecimg/?202201069474877158,Contributions From Other Political Committees
C00577353,BARRAGAN FOR CONGRESS,2021,Q3,202110159467536539,11C,VR00TNJXTP8,1543630,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-09-14 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-10-19 03:58:17.169,,,,F3,4101620211373827586,f,,2022,SA,,4101920211373959736,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467536539,Contributions From Other Political Committees
C00330720,TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS,2021,YE,202201209475032848,11C,SA11C.10827,1557669,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,D,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-09-30 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2022-01-21 03:39:34.35,,,,F3X,4012020221388866045,f,,2022,SA,,4012020221388893147,https://docquery.fec.gov/cgi-bin/fecimg/?202201209475032848,Contributions From Other Political Committees
C00499947,FRIENDS OF DAN KILDEE,2022,Q2,202207159521838675,11C,11918312,1615199,,PAC,POLITICAL ACTION COMMITTEE,C00328369,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,H,,P,,,,,400 CAPITOL MALL,STE 1545,SACRAMENTO,CA,958144434,,,C00328369,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2022-05-11 00:00:00,1500.00,1500.00,,,,,,,,,,,,,,,,,,,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2022-08-09 03:41:28.633,,,,F3,4071520221540559463,f,,2022,SA,,4080820221563551180,https://docquery.fec.gov/cgi-bin/fecimg/?202207159521838675,Contributions From Other Political Committees
C00455717,FREE STATE PAC,2021,Q3,202110159467566920,12,A9BCAD7713BC84B45AFB,1543668,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,D,,,,,1919 S. EADS ST,,ARLINGTON,VA,22202,,,C00375048,18J,MEMO (FILER'S % OF CONTRIBUTION GIVEN TO JOIN,,X,,2021-04-14 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-10-20 04:02:33.338,,AC34824BD42854240ABA,SA12,F3X,4101620211373837225,f,,2022,SA,,4102020211374105954,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467566920,Transfers from Authorized Committees
C00576090,EVERGREEN PAC,2021,MY,202110189467933083,11C,VVBTWSQE3Q4,1545055,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,D,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-06-24 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED RECEIPTS,2021-10-22 04:00:37.673,,,,F3X,4101920211373935108,f,,2022,SA,,4102220211374732233,https://docquery.fec.gov/cgi-bin/fecimg/?202110189467933083,Contributions From Other Political Committees
C00498907,DEB FISCHER FOR US SENATE,2021,Q1,202104159443536781,11C,SA11C.53649,1511828,,PAC,POLITICAL ACTION COMMITTEE,C00328369,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,S,"",P,,,,,400 CAPITOL MALL,STE 1545,SACRAMENTO,CA,958144434,,,C00328369,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),CONTRIBUTION,,,2021-03-15 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED RECEIPTS,2021-05-04 05:16:38.165,,,,F3,4041620211277753641,f,,2022,SA,,4050420211285222698,https://docquery.fec.gov/cgi-bin/fecimg/?202104159443536781,Contributions From Other Political Committees
C00235655,BLUEGRASS COMMITTEE,2021,M10,202110199467960820,11C,A38B23F5DF1C547309D2,1545271,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,D,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-09-14 00:00:00,2500.00,2500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-10-23 03:53:45.316,,,,F3X,4102020211374032067,f,,2022,SA,,4102320211374913413,https://docquery.fec.gov/cgi-bin/fecimg/?202110199467960820,Contributions From Other Political Committees
